player_name,goals_scored,assists,passes_completed,tackles_won
Torr Margrett,23,9,1719,33
Dorene Maudling,24,18,1530,4
Leigh Ennor,20,5,440,13
Lynea Gorman,20,4,1664,11
Nariko Ciccottio,7,18,363,51
Dennison Morphey,23,16,333,89
Udall Picknett,15,6,79,56
Chip Sumnall,5,9,1244,11
Yard Vigers,0,8,1915,72
Rowen Marc,18,7,264,4
Alphard Moy,13,13,809,7
Jacquelyn Denes,5,3,1476,21
Levon Siccombe,0,15,1296,52
Jareb Gynne,6,5,1012,48
Brion Pawley,19,20,1839,33
Judye Hartzog,7,9,430,8
Chicky Pischof,1,2,627,92
Cathryn Cufflin,20,13,479,81
Codi Gandrich,24,3,565,2
Gusta Levis,4,11,962,71
Virgie Verlinde,4,14,505,43
Simonette Elcom,0,14,43,40
Den Helix,18,19,1284,7
Berkie Rathbone,20,1,1653,6
Lowe Lillow,1,1,720,28
Marabel Smeed,25,10,1342,39
Mason Miskelly,24,1,640,51
Valerie Charkham,0,13,609,4
Davita Sappy,2,15,146,78
Hodge Coventry,27,15,629,34
Cammy Suggett,22,7,210,64
Tanney Farryan,18,3,480,89
Lyndell Fenty,1,9,747,83
Eward Lillicrop,5,10,1277,8
Maryrose Dover,21,19,1861,21
Constantina Nelsen,20,15,907,64
Gunter Medford,9,17,1781,62
Jemmie Soggee,25,12,1874,44
Ruth Purdon,5,0,1679,76
Patricio Hockey,25,20,1900,89
Guido Hulme,27,19,770,9
Henrietta Stainfield,5,4,1754,77
Maudie Tulley,3,10,1810,4
Saunders Wooster,12,0,1077,36
Brittaney Petrelluzzi,26,3,973,50
Osmond Rowlatt,7,20,1622,22
Zandra Dysart,28,4,1695,0
Petunia Moth,29,8,254,66
Lib Camus,13,19,162,11
Maire Buckett,19,8,1826,77
Page Ketch,29,16,1910,42
Marianna Kirsch,21,11,407,72
Juliet Geertz,28,9,1152,18
Malynda Jakeway,22,1,1594,31
Helaina Arnott,30,0,1498,45
Lola Abrahm,14,2,212,42
Leticia Kirtlan,21,3,406,100
Seka Brompton,15,16,725,87
Bendick Dobby,8,9,1362,31
Honey Dowrey,14,3,1307,23
Bale Ivell,3,6,490,75
Chandra Randal,17,11,397,34
Kaycee Henrique,5,14,1131,57
Carver Spiby,20,10,1175,34
Joannes McCarry,8,5,1507,33
Jeanne Kulicke,24,9,1981,11
Roxy Richarz,17,6,410,54
Gray Goring,9,4,946,56
Rosanne Emmett,14,16,1595,53
Ardene Card,19,17,1004,81
Tresa Brackenbury,26,6,257,20
Robb Capelin,9,9,1443,3
Trescha Nottle,23,12,1303,48
Adrianne Garrad,3,15,994,26
Laurens Filipiak,3,14,1194,4
Jeane Drake,20,16,621,71
Haydon Simison,15,14,1761,32
Florance Wynes,8,8,1126,87
Eustace Drogan,30,15,1789,39
Karlan Caverhill,27,0,1747,15
Deedee Roarty,28,8,1731,47
Fransisco Pistol,18,2,1787,76
Laurene Hansell,12,6,1228,73
Janith Sendall,13,2,881,81
Temple Compson,29,9,656,93
Damara Durkin,27,0,1523,77
Amery Ginnaly,30,2,1088,3
Denna Warrilow,15,9,843,72
Herminia Plumstead,1,4,1441,24
Darleen Hockey,9,1,1848,74
Tristam Gabbidon,17,20,1335,41
Calvin Birtle,7,15,1915,9
Gabey Dudek,26,14,49,84
Konstantine Mullins,16,18,467,9
Norah Gadeaux,27,14,1161,9
Michaeline Cicculi,25,8,1335,6
Brianna Sealand,14,5,1114,26
Ophelia Scorton,10,16,992,50
Marlo Sach,26,9,1062,98
Davon Bignell,10,12,986,55
Fran Beeching,11,5,821,91
Shell Fouracres,19,0,282,74
Garland Petrusch,7,4,969,7
Sergio Jacobsz,3,4,978,6
Jewell Kendall,22,16,200,79
Ruperto Dellit,18,20,1126,25
Verene Blaxter,22,0,1916,2
Brigitte Raynton,21,17,901,28
Cornie Le Gall,0,2,432,7
Brynne Mulles,3,7,426,30
Christophe Meriguet,25,17,117,71
Rowe Radbond,1,3,1100,55
Marten Verriour,27,16,105,59
Alfie Mecchi,23,10,1838,42
Hendrik Pealing,5,10,391,97
Billy Vlasov,16,19,866,26
Alastair Sterman,5,4,308,34
Laurie Jenicke,16,15,1958,67
Carri Cristofol,18,16,386,1
Deva Morando,24,0,822,43
Gibby Leithgoe,8,20,863,79
Byron Torbeck,25,9,1635,8
Cindie Lehrahan,12,17,61,1
Arch Theseira,17,19,1848,1
Dodi Sanney,25,6,1038,53
Stu Cauley,22,19,859,26
Catina Benting,26,19,1429,16
Batholomew Harrinson,4,0,85,59
Crista Fairbridge,0,7,1295,16
Jean Benech,18,20,1393,54
Ora Gibberd,25,5,908,71
Gayel Wraight,3,9,205,36
Zsa zsa Hayer,30,14,1606,0
Kimberli Kubera,26,10,314,69
Bink Benoy,8,2,1081,22
Viviyan Shillinglaw,1,1,69,57
Constantin Pigott,29,11,157,48
Yehudit Morling,21,14,459,97
Barnabas Scandred,17,1,84,31
Bourke Meeron,3,20,1875,24
Obadiah Bezzant,19,3,116,41
Nelly Piddington,0,2,250,29
Mara Bourdice,13,20,80,63
Susy Beekman,18,4,884,52
Leandra Brave,16,2,939,65
Jodi Leggon,23,5,1536,58
Nehemiah Emmanueli,26,0,1093,48
Rip Ealden,19,20,158,5
Delora Caustick,17,13,201,1
Mark Blease,22,0,65,22
Mal Stainsby,7,10,1846,73
Dimitri Lapides,14,20,1301,42
Viviene Marini,8,15,1194,90
Ainsley Sheavills,28,3,1758,2
Raven Barribal,17,0,619,19
Marybeth Widocks,20,19,1060,50
Athena Coulling,9,11,410,71
Milly Lensch,29,2,608,7
Briney Osmon,19,3,87,34
Mikkel Boullen,28,10,245,71
Andee Tabram,7,17,378,78
Pandora Lunnon,16,10,1187,1
Myranda Padly,28,4,1788,62
Oliy Kingsmill,27,8,1272,30
Massimo Leppingwell,18,9,1285,88
Franky Lidgertwood,28,8,522,84
Lisetta Brampton,19,6,760,76
Wilhelmine Berceros,5,13,1253,61
Floria Ralphs,28,2,1053,8
Isaac Folley,2,6,1412,91
Debbi McKeighen,0,9,219,97
Tess Crowdy,8,0,1368,49
Barbie Blann,8,15,409,64
Thaine Piggford,24,7,1594,79
Bernice Wannan,22,8,1874,2
Pepe Pridie,3,10,424,55
Marabel Portugal,20,8,1636,34
Ashlan Dovidian,23,15,1746,100
Ignace Blessed,28,2,809,36
Jeromy Lewin,28,15,657,46
Spenser Scottesmoor,5,1,639,17
Annabell Shovlar,19,9,1658,71
Anastasie Baldini,20,15,1148,47
Ches Lawrenceson,12,12,1490,26
L;urette Rubinsztein,16,9,8,71
Stace Gainsboro,14,0,234,73
Latashia Muge,6,11,733,96
Ralina Coles,3,20,1638,30
Tadd Carding,0,16,878,89
Amie Vaadeland,30,7,579,50
Dill Roadknight,22,9,542,79
Harmonie Brient,7,10,1956,20
Wolf Shuttell,22,15,831,96
Anna-diana Izkovici,25,20,1324,39
Pandora Schottli,11,14,209,15
Lucky Gonning,16,8,527,18
Suzy Ruffell,23,13,1459,97
Elset Arthey,20,14,1868,10
Josephine Moyer,6,20,1652,14
Marja Cortin,27,15,206,29
Eldridge Gadault,8,12,107,6
Donny McLaughlin,16,20,391,59
Cortney Dunster,24,19,1242,16
Durant Imos,1,3,1996,10
Elmira Cavell,6,18,1494,16
Minor Stockford,26,19,409,31
Hedvig Petz,15,11,1097,55
Darren St Clair,3,2,679,97
Salim Widdowes,25,2,1976,22
Flossie Dansie,14,8,462,91
Antone Chipperfield,10,11,1023,38
Zebulen McCall,17,12,1120,0
Lita Benwell,15,0,562,96
Justen Dugmore,6,16,477,47
Cheslie Launchbury,19,13,320,48
Wally Whiteoak,14,11,1739,76
Helene Muat,18,1,1464,26
